,name,album,release_date,track_number,valence,popularity,energy,,,
255,epiphany,folklore (deluxe version),18/8/2020,13,0.103,70,0.254,,,
256,betty,folklore (deluxe version),18/8/2020,14,0.476,72,0.376,,,
257,peace,folklore (deluxe version),18/8/2020,15,0.328,70,0.284,,,
258,hoax,folklore (deluxe version),18/8/2020,16,0.404,69,0.178,,,
259,the lakes - bonus track,folklore (deluxe version),18/8/2020,17,0.268,74,0.258,,,
260,the 1,folklore,24/7/2020,1,0.172,82,0.357,,,
261,cardigan,folklore,24/7/2020,2,0.551,91,0.581,,,
262,the last great american dynasty,folklore,24/7/2020,3,0.706,78,0.662,,,
263,exile (feat. Bon Iver),folklore,24/7/2020,4,0.152,83,0.38,,,
264,my tears ricochet,folklore,24/7/2020,5,0.111,82,0.263,,,
265,mirrorball,folklore,24/7/2020,6,0.379,81,0.413,,,
266,seven,folklore,24/7/2020,7,0.415,78,0.488,,,
267,august,folklore,24/7/2020,8,0.403,92,0.623,,,
268,this is me trying,folklore,24/7/2020,9,0.412,80,0.476,,,
269,illicit affairs,folklore,24/7/2020,10,0.46,81,0.31,,,
270,invisible string,folklore,24/7/2020,11,0.45,79,0.452,,,
271,mad woman,folklore,24/7/2020,12,0.506,72,0.699,,,
272,epiphany,folklore,24/7/2020,13,0.113,71,0.267,,,
